pipeline_id,pipeline_name,ingestion,processor,storage,startup_s,ingestion_s,processing_s,dbt_build_s,e2e_total_s,events,silver_rows,containers,dbt_tests,dbt_pass,validation_status,notes
00,Batch Baseline (dbt only),-,-,-,n/a,n/a,n/a,19,19,0,n/a,1,91/91,True,PASS,dbt-duckdb on static parquet
01,Kafka + Flink + Iceberg,Kafka,Flink,Iceberg,14,24,44,21,105,10000,9855,10,94/94,True,PASS,Production reference pipeline; all audit improvements applied
02,Kafka + Spark + Iceberg,Kafka,Spark,Iceberg,31,26,53,18,128,10000,9739,9,91/91,True,PASS,Fixed: dbt-spark→dbt-duckdb; Spark Silver preserved CamelCase cols
03,Kafka + RisingWave,Kafka,RisingWave,-,26,25,2,14,67,10000,9766,3,81/81,True,PASS,Fixed: risingwave_view_override macro; DROP+CREATE view pattern
04,Redpanda + Flink + Iceberg,Redpanda,Flink,Iceberg,12,24,43,20,83,10000,9855,8,91/91,True,PASS,Fastest Flink pipeline; SR removed → 23s faster than previous
05,Redpanda + Spark + Iceberg,Redpanda,Spark,Iceberg,29,25,53,18,125,10000,9739,9,91/91,True,PASS,Fixed: dbt-spark→dbt-duckdb; same fix as P02
06,Redpanda + RisingWave,Redpanda,RisingWave,-,22,25,2,n/a,n/a,10000,9766,3,n/a,n/a,PASS,MVs verified; dbt same view issue as P03 (fix applicable)
07,Kestra Orchestrated,Kafka,Flink,Iceberg,15,24,43,22,104,10000,9855,11,91/91,True,PASS,Lightest orchestrator (+485 MB over P01)
08,Airflow Orchestrated,Kafka,Flink,Iceberg,31,24,43,21,119,10000,9855,12,91/91,True,PASS,Heaviest orchestrator (+1500 MB); Astro CLI not required
09,Dagster Orchestrated,Kafka,Flink,Iceberg,15,24,43,21,109,10000,9855,10,91/91,True,PASS,Mid-weight orchestrator; similar to Prefect
10,Serving Comparison,-,-,ClickHouse,10,n/a,n/a,n/a,n/a,n/a,n/a,3,n/a,n/a,PASS,ClickHouse + Metabase + Superset services healthy
11,Observability Stack,Kafka,Flink,Iceberg,15,24,43,n/a,n/a,10000,9855,10,57/122,False,PARTIAL,Elementary + DuckDB compatibility; core Flink+dbt models pass
12,CDC Debezium Pipeline,Debezium,Flink,Iceberg,26,0.3,24,19,112,10000,9855,12,91/91,True,PASS,PostgreSQL WAL → Debezium → Kafka → Flink → Iceberg
13,Kafka + Spark + Delta Lake,Kafka,Spark,Delta Lake,26,2,23,18,69,10000,9739,8,91/91,True,PASS,Fixed: delta_scan()→read_parquet glob; s3_endpoint format fix
14,Kafka + Materialize,Kafka,Materialize,-,16,25,2,n/a,n/a,10000,9766,4,n/a,n/a,PASS,Fixed: SECURITY PROTOCOL = PLAINTEXT for Kafka
15,Kafka Streams,Kafka,Kafka Streams,-,10,3,0.05,n/a,n/a,10000,n/a,3,n/a,n/a,PASS,Fixed: kafka-init service pre-creates topics; rebalance delay added
16,Redpanda + Flink + Pinot,Redpanda,Flink,Pinot,20,24,43,n/a,94,10000,9855,9,n/a,n/a,PASS,Flink → Iceberg + Pinot serving
17,Kafka + Flink + Druid,Kafka,Flink,Druid,20,24,43,n/a,87,10000,9855,10,n/a,n/a,PASS,Flink → Iceberg + Druid serving
18,Prefect Orchestrated,Kafka,Flink,Iceberg,15,24,43,21,109,10000,9855,10,91/91,True,PASS,Similar overhead to Dagster
19,Mage AI,Kafka,-,-,13,n/a,n/a,n/a,n/a,n/a,n/a,6,n/a,n/a,PASS,Interactive UI pipeline; services healthy
20,Kafka + Bytewax,Kafka,Bytewax,-,10,3,0.1,n/a,40,10000,n/a,4,n/a,n/a,PASS,Python-based stream processor; fastest ingestion at 3s
21,Feast Feature Store,Kafka,Flink,Iceberg,14,24,43,n/a,n/a,10000,9855,11,n/a,n/a,PASS,Flink processes; Feast materialises features
22,Kafka + Spark + Hudi,Kafka,Spark,Hudi,25,2,25,n/a,n/a,10000,9739,8,n/a,n/a,PASS,Spark + Hudi CDC storage format
23,Full Stack Capstone,Debezium,Flink,Iceberg,20,0.3,24,6,155,10000,9855,12,91/91,True,PASS,PG → Debezium → Kafka → Flink → Iceberg → dbt → ClickHouse → Grafana
